id,text,clean_text,eng,author.id,word_count,tweet_without_stopwords,tweet_lemmatized,topic_match,topic_similarity,is_vegan
b'gAAAAABkk1Q0lQ9cXELaJh4NEuvhAdo0BsFtbGfkKK5nbpC3AUigWS3JOpFZVymKU4qjyNLmYO63GZx4oZicSDXcFqi3WakSw4bB6rioAqPJhrM878z7AB4=',Hatte heute einen veganen Caesar Salad und swi das war das ekligste das ich seit langem gegessen habe https://t.co/8zyutdkmNK,hatte heute einen veganen caesar salad und swi das war das ekligste das ich seit langem gegessen habe,had a vegan caesar salad today and swi that was the grossest i've eaten for a long time,b'gAAAAABkk1Q087RzQ1LH9DIlvKg5he_3sCsYpigh2L5ttbfx311llwNMoEx8vJqn8eRTpp8HpyiGc0NubenZKU8tBBuaDLH_2ER0vLis0atfysKc3_Gp1cM=',18,vegan caesar salad today swi grossest i've eaten long time,vegan caesar salad today swi grossest i've eaten long time,3743,0.6299999952316284,False
b'gAAAAABkk1Q0SndT4jHPNhtqz1RRQBYaf2GlN72BGzhR5vtZPoxNoahLz-B9pvTZhHJEWGPfkpMIz1mL5qQeKY2LgZqF8fqiVJfV7JA4X9cbCMfL9DwWpFk=',"@hagebuttenwolf @genietervan Hier nur ein Bananenbrot, natürlich auch vegan, aber vielleicht nicht ganz so lecker?",hier nur ein bananenbrot natürlich auch vegan aber vielleicht nicht ganz so lecker,here only a banana bread of course also vegan but maybe not quite as tasty,b'gAAAAABkk1Q0KDrhN_Dlz5QU-MkOXgwkjda9blhnhQELyty4TSA2kv1Kdwsu5KPtDr08XhSGubg7EDMSoJgZEF5yWE3UQEhqfg==',15,banana bread course also vegan maybe quite tasty,banana bread course also vegan maybe quite tasty,3220,0.6299999952316284,False
b'gAAAAABkk1Q0n6YKfaJw2JwYcLpZR574HtZcFam5tmSySi1GG8CJoxFXOjk-7PFwXCNIit9wwTbYk_6ZPEkpFzy9VB6Aim_I003t8WaJr4CbkPpwjZ7ti4k=',@roggi_ultra_no1 Aber die vegane Weißwurst ist mehrwertsteuerfrei. Söder jagt die AKWs eigenhändig in die Luft aus Protest dagegen,aber die vegane weißwurst ist mehrwertsteuerfrei söder jagt die akws eigenhändig in die luft aus protest dagegen,but the vegan whitwurst is vat-free söder chases the akws in the air from protest against it,b'gAAAAABkk1Q05B3pHdwVV9idc6nu0k-qQyuL22nAN0oUAcCflqZnKA7ZyYd2z46KPNKgy4IaOcxLPNYWcMesXvrCqmDFxl8C6Q==',17,vegan whitwurst vat-free söder chases akws air protest,vegan whitwurst vat-free söder chase akws air protest,5,0.44999998807907104,True
b'gAAAAABkk1Q01eN2vuOAcu3sEvgiP9hscwO_QPEFP4z-5XrQ3kXu-5EjEQ-GZ6CDIX10_ZP9qi37mPp5RHzwbDPyNPhxEfFTXWjfjTpapZALCwJB1Dv3U7w=',"Ich sitz bei Ben und Jerry's in Clearwater, Florida und esse genüsslich ein veganes Eis, während im Radio Linkin Park läuft.\nDen Moment bitte einmal in ein Einmachglas zum mitnehmen 🥰\n\n#MaianaHoliday",ich sitz bei ben und jerrys in clearwater florida und esse genüsslich ein veganes eis während im radio linkin park läuftden moment bitte einmal in ein einmachglas zum mitnehmen maianaholiday,i sit at ben and jerrys in clearwater florida and enjoy a vegan ice cream while in the radio linkin park running moment please take one in a mason jar to maianaholiday,b'gAAAAABkk1Q0mI9KgwW7VKhtsTYNkfNUEwAyb4WDMokoMNX77V-u8WQtnSg7A_XTRWuNw4BPattWOc0Q5cyiwZbX6Iufo1TqAQ==',32,sit ben jerrys clearwater florida enjoy vegan ice cream radio linkin park running moment please take one mason jar maianaholiday,sit ben jerry clearwater florida enjoy vegan ice cream radio linkin park running moment please take one mason jar maianaholiday,1444,0.5400000214576721,False
b'gAAAAABkk1Q03g1toD7HPHZt6iLQDex0AdqUSpBiFuK1uKml_jGBdF2Hs9UEYpDVqP5F0URqYtTK3D1655AlgHolSQfqL2sANJkm9wU4uE8krQWPbCN17Y0=',"Ist man Hetero, ist es falsch\nIst man ein Teil der LGBTQ+, ist es flasch\n\nIsst man Fleisch, ist es falsch \nIst man vegan, ist es falsch\n\nFazit für mich:\nIch bin falsch, so wie ich bin\n\nSee ya",ist man hetero ist es falschist man ein teil der lgbtq ist es flaschisst man fleisch ist es falsch ist man vegan ist es falschfazit für michich bin falsch so wie ich binsee ya,is one hetero is it wrong is one part of the lgbtq is it flassiest man meat is it wrong is one vegan is it wrong for mei'm wrong as i am lake ya,b'gAAAAABkk1Q0KyDAAFgn7Jkl-cyDwaN-71ED06xqMtET5i5PDwTyU1pRzybnL2FFfRLi7nEK45oJ3qxJUE6Ap-DtmJQuqfBlDImB0vQlD7wlZGfPVMVbG8s=',34,one hetero wrong one part lgbtq flassiest man meat wrong one vegan wrong mei'm wrong lake ya,one hetero wrong one part lgbtq flassiest man meat wrong one vegan wrong mei'm wrong lake ya,5,0.5799999833106995,True
b'gAAAAABkk1Q0V-6n9Mf00IyAJ2UZ2QzHMkYozaAPjppdGYhf6PV6ztiW34DeLX6DjKIF-nbp7PEsWQ0hxHFiNeFqHQnnBHbcG3Bx8M9ROo77YMnSlpC-rQA=',"@rbbabendschau @TUBerlin Mit Verlaub, habt ihr den arsch offen? Nicht weil der Döner wahlweise vegan ist sondern vom Preis her. Es muss umgehend eine Dönerpreis Bremse her!",mit verlaub habt ihr den arsch offen nicht weil der döner wahlweise vegan ist sondern vom preis her es muss umgehend eine dönerpreis bremse her,with permission you have the ass open not because the doner is optionally vegan but from the price it must immediately a dönerpreis brake here,b'gAAAAABkk1Q01YN1XiWL5eicJdHmYOPQ5ufeLIbkmnnCXrQPaV7CtXyXiWgdGGynCNXuCMjKZZPAQdBSF3M9f84CBXSkdFreWmg8hMpU1j5-_EZp3ZHql8M=',25,permission ass open doner optionally vegan price must immediately dönerpreis brake,permission as open doner optionally vegan price must immediately dönerpreis brake,5,0.5199999809265137,True
b'gAAAAABkk1Q0U2WoFw1TYdwLKRU9BjtfhCbc0sbNpMcUaAl_h899TuIpc39n-UWbzQLWn5Jx7oUiZtqZncISqSY_d3DkxQYSu1aGFK_NPXHkmPRZP_O5lIE=',"Im Ostergeschäft nun sind auch Hühnereier nicht nur teuer, sondern auch noch knapp. Ein Berliner Startup will das vegane Ei als Alternative etablieren.\n\nhttps://t.co/4ZPVgkiRJ6",im ostergeschäft nun sind auch hühnereier nicht nur teuer sondern auch noch knapp ein berliner startup will das vegane ei als alternative etablieren,in the east business now also chickens are not only expensive but also just a berlin startup wants to establish vegan egg as an alternative,b'gAAAAABkk1Q0K5VnZjB3_VYkt4hJVirZ0d1EEJl5K85FHuP94zZ3cLc-d4Ne8UKm9wJHN4xxE3NpS1HT0rlKvJiUd10cbg0Jnw==',25,east business also chickens expensive also berlin startup wants establish vegan egg alternative,east business also chicken expensive also berlin startup want establish vegan egg alternative,3204,0.550000011920929,False
b'gAAAAABkk1Q0JaJB6vpmIcU9mb-UFybb6RMwvMNpFQy4fsZcNT8Zj936mMUMUAXt-uZvKtm_Y7yOSNALu-LCb5xZ0fM0GRjWjgYuQdLWqN-NTLemieV6qEQ=',@MullerBoje Nix...habe kein Vermögen immer Klimagerecht gelebt.Halte Demokratie für  das Beste was wir haben.Und fabrizieren weder viel Müll u lebe Vegan ...Also Alles im grünen Bereich 👍,nixhabe kein vermögen immer klimagerecht gelebthalte demokratie für das beste was wir habenund fabrizieren weder viel müll u lebe vegan also alles im grünen bereich,nixhabe no capacity always climate-friendly living democracy for the best we have and fabricate neither much waste u live vegan so everything in the green area,b'gAAAAABkk1Q0eLquFbM3_RXCpxMC3NNQl-XyMBS0BeWQEEiL1v4k8ja6HFZGoY8ZDjSBwz7EEbN-nohOe67XW38hy5jxIs_FbuDMv7-8o99WkiAP1QbQhrE=',26,nixhabe capacity always climate-friendly living democracy best fabricate neither much waste u live vegan everything green area,nixhabe capacity always climate-friendly living democracy best fabricate neither much waste u live vegan everything green area,5,0.6000000238418579,True
b'gAAAAABkk1Q08UvOtmCnh3LctG14UPpoB3XOc6Ldo4sh1Ev_pJ7butr1vJhiW2MfzIAHFrex3tNjRoIMh6RFx6Tv1H_lOY33AxNSTfMkOspUiEDGifJl_V0=',"@Dorimukyatcha Das Alex am Alex hat ein Buffet, aber ehrlich ich würde einfach gucken was am Boxhagener Platz ist, da gibt es einfach alles, ob vegan, ob Café nur mit 20 verschiedenen Käsekuchen Sorten oder herzhafter Brunch. Samariter Straße / Boxi is best ☺️👌",das alex am alex hat ein buffet aber ehrlich ich würde einfach gucken was am boxhagener platz ist da gibt es einfach alles ob vegan ob café nur mit verschiedenen käsekuchen sorten oder herzhafter brunch samariter straße boxi is best,the alex at the alex has a buffet but honestly i would just look what is at the boxhagener square there is just everything if vegan whether café only with different cheesecake varieties or hearty brunch samariter street boxi is best,b'gAAAAABkk1Q0LMWPVSr-A7-wf51SgW4TtHyv_TDQiPHiRqoT_ko8UesB9lPAQnDKjCMNQyIdgoQxVBDsMUhwpe4TR8XCiOiYmQ==',41,alex alex buffet honestly would look boxhagener square everything vegan whether café different cheesecake varieties hearty brunch samariter street boxi best,alex alex buffet honestly would look boxhagener square everything vegan whether café different cheesecake variety hearty brunch samariter street boxi best,3220,0.5600000023841858,False
b'gAAAAABkk1Q0FVSArgcVigjktZS1CsqgRgpF5zmMGLKW0jEwUovQ1FgdusdGM6Abo6fjUeu3MQL0pk1c4gLF_grYWeegVKBFXRnz_M5MnAFYOzBaK2PGVzs=',"@goran_jovanic @alf_frommer Zur Präzisierung: Mit Sandkastenlinken meine ich solche, die statt Linke, SPD oder Grüne (ja, man kann Linksheit diskutieren) irgendwelche Splitterparteien zu Partikularthemen (Klima, vegan, Tierschutz, Rechtsökologen etc)  wählen, die nur die Menge der linken Stimmen schrumpfen.",zur präzisierung mit sandkastenlinken meine ich solche die statt linke spd oder grüne ja man kann linksheit diskutieren irgendwelche splitterparteien zu partikularthemen klima vegan tierschutz rechtsökologen etc wählen die nur die menge der linken stimmen schrumpfen,for clarification with sandbox links i mean such the instead left spd or green yes you can discuss left any splinter parties to particular topics climate vegan animal protection right ecologists etc choose the only amount of left vote shrink,b'gAAAAABkk1Q0KZhjSTr41Q8zswQ86Myk5m_eRL9rMdGTLhj_08oa2IvZGJ25hp-3NGDCmBQyotJYJE3dsmbE_6e17Rjde_s1Ag==',40,clarification sandbox links mean instead left spd green yes discuss left splinter parties particular topics climate vegan animal protection right ecologists etc choose amount left vote shrink,clarification sandbox link mean instead left spd green yes discus left splinter party particular topic climate vegan animal protection right ecologist etc choose amount left vote shrink,3562,0.41999998688697815,False
b'gAAAAABkk1Q0XPGVoythAwIrxbBoDLGbuaoJSq6NjK7FLI8syUuF95jORDxgJO0GCD1nQude_7s3DpKNKnsc98ZaYFqZdfImd8zx68gRYPdhVFLks9kUD7A=',"Ich werde sicherlich kein Veganer mehr, aber wir testen immer wieder Produkte. Die Majo, es gibt keine bessere für mich. Die Vurst, völlig okay. Die vegane Butter geht auf dem Brot, nicht zum Braten. Der „Käse“ ist mild und okay fürs Sandwich, Gouda ist als Vorbild aber zu groß. https://t.co/UHACnLJ1Qe",ich werde sicherlich kein veganer mehr aber wir testen immer wieder produkte die majo es gibt keine bessere für mich die vurst völlig okay die vegane butter geht auf dem brot nicht zum braten der „käse“ ist mild und okay fürs sandwich gouda ist als vorbild aber zu groß,"i certainly won't be vegan anymore but we keep testing products that mayo there is no better for me the vurst completely okay the vegan butter goes on the bread not to fry the ""cheese"" is mild and okay for the sandwich gouda is as an example but too big",b'gAAAAABkk1Q0sgCjHAmWynNoSCQ8VPbuOYFbtn7y5MrXcGdyvVNCT_PRmVaN2-SAtUHXqzTy_QZX8PeSXrlYwkxtt0e5zVHHVA==',50,"certainly vegan anymore keep testing products mayo better vurst completely okay vegan butter goes bread fry ""cheese"" mild okay sandwich gouda example big","certainly vegan anymore keep testing product mayo better vurst completely okay vegan butter go bread fry ""cheese"" mild okay sandwich gouda example big",3107,0.7300000190734863,False
b'gAAAAABkk1Q0k_TL8DU64FRIvfT0ezwbJu9luxd4w0yH5s7hlI-DE-AXdt7uZl7qUwDfRfY1PYRHwCpEGP1TEL8ySPhupaheNq1u21ernJYGI72zIUYVoo0=',"@harryfiat @breitenbach Aus hygienischen Gründen erscheint mir anderes wichtiger. Vegetarisch und Vegan können auch durch schlechte Hygiene verunreinigt sein und wenn es dann nicht richtig gekühlt ist, krank machen",aus hygienischen gründen erscheint mir anderes wichtiger vegetarisch und vegan können auch durch schlechte hygiene verunreinigt sein und wenn es dann nicht richtig gekühlt ist krank machen,other important vegetarian and vegan can also be contaminated by poor hygiene and if it is not properly cooled then make sick,b'gAAAAABkk1Q0s419MJyhVShI5ulUFFCNm0aJxSE-I2NnKywwof8paHmUdEao1rTK1mAmY--HQZFL5dug5KM6DkJw74AlJwLQOQ==',22,important vegetarian vegan also contaminated poor hygiene properly cooled make sick,important vegetarian vegan also contaminated poor hygiene properly cooled make sick,5,0.6600000262260437,True
b'gAAAAABkk1Q0G9aawLVGtdGNGLQgcdiM8OXunh8v9PytizMELMctp0MIR0aS2PsX_8HAbGMradaijxj89-0_9m99zNXjp53j_acWSGpolGq61rOPt1DtZVU=',@Bicolinchen @OomenBerlin Vegan verträgt halt leider nicht jeder.🤷‍♀️,vegan verträgt halt leider nicht jeder,vegan unfortunately does not tolerate everyone,b'gAAAAABkk1Q08eKwLwIRb0u3oKJL_-zkMYJVlg7BNcfdo5QjYZxyT6d6PoHjbWImI4yWVdsDyHXbF7wpah0RsfiUX9EtD6fwjA==',6,vegan unfortunately tolerate everyone,vegan unfortunately tolerate everyone,5,0.7300000190734863,True
b'gAAAAABkk1Q0sCUMkOvG-uNlnoai1Fz1xvApwzxkqfRNikIpEVPA53reI5MDSeXH8nNXhbdSzQRgkzPdEJfM2Xq9coGH2fKmpdmcBj-LRhcUFnsmrJDUlKc=',@mxlte1 @Kirtscho Manche Menschen werden unter anderem deswegen vegan weil sie das schreckliche Leid der Tiere einfach nicht mehr ertragen können und eben schon garnicht selbst daran auch noch beteiligt zu sein.,manche menschen werden unter anderem deswegen vegan weil sie das schreckliche leid der tiere einfach nicht mehr ertragen können und eben schon garnicht selbst daran auch noch beteiligt zu sein,"some people become vegan, among other things, because they just can't bear the terrible suffering of the animals anymore and certainly can't even be involved in it.",b'gAAAAABkk1Q07CpmVHbMl2KPenLk3E_EF1Zc5v0Sokq5Tkylf2_dvMgXGmq5lYCy7cZFX4J8PZgqFtkwwdJVl466xcOGYrqUTw==',27,"people become vegan, among things, can't bear terrible suffering animals anymore certainly can't even involved it.","people become vegan, among things, can't bear terrible suffering animal anymore certainly can't even involved it.",5,0.75,True
b'gAAAAABkk1Q06QbXtahMn6moh6H2y48usjYB6UuHZG2ZZoBAqkJOYa3UKRR5UxmVH5iWURe0tZZ2yu-V9thpsrJpO311C__5SSuYTY2CTzIaGB0bY2VYuuc=',@lanimaly5 @herrkrise @JordiBogenstein Auch etwas das vegane Ernährung sehr erschwert aber nicht unmöglich macht.,auch etwas das vegane ernährung sehr erschwert aber nicht unmöglich macht,also something that makes vegan nutrition very difficult but not impossible,b'gAAAAABkk1Q09cYpyojS4-a3gK3ACmns8PCqtjK37QdvAwNkZFsNqeWdQVz_YJj021xRFi43f-0e5EdRuhzy2QDMBybthF1wZA==',11,also something makes vegan nutrition difficult impossible,also something make vegan nutrition difficult impossible,5,0.6800000071525574,True
b'gAAAAABkk1Q0FXORVnSq5QJIURM4WLDY_wzrFjneu6j0DTI8GQjNYWDvHzX8rFdRsmk6C-_9D21WFJCfmv4_OquvTVxrAjYtg10Ouaj_iTtcf_Gp3bkWdYQ=',Hier haben wir 2 Hasen und beide haben Recht.\nWähle einfach einen davon der am Besten bei dir wirkt ✨:\n\n{\__/}\n( • . •)\n/ &gt; 💚  heyyy könntest du vll bitte vegan werden?\n\n{\__/}\n(ò . ó)\n/ &gt; ❤️‍🔥  DU SOLLST KEINE TIER MEHR FRESSEN DU\n              PIMMELFRATZE!!!,hier haben wir hasen und beide haben rechtwähle einfach einen davon der am besten bei dir wirkt • • gt heyyy könntest du vll bitte vegan werdenò ó gt du sollst keine tier mehr fressen du pimmelfratze,here we have hasen and both have rightchoice just one of them that works best with you • • gt heyyy could you vll please get vegan ò gt you're not supposed to eat any more animal you fuck,b'gAAAAABkk1Q06gUIM-QpwdvZ0WGow9K3hzeQXP6nOy-atvGYR19FT3Uu-BAoD7FGGXwgG31LWF1cWg3YBxpz0tuH_REJiNNJpw==',39,hasen rightchoice one works best • • gt heyyy could vll please get vegan ò gt supposed eat animal fuck,hasen rightchoice one work best • • gt heyyy could vll please get vegan ò gt supposed eat animal fuck,3107,0.7099999785423279,False
