id,text,clean_text,eng
b'gAAAAABkk1Q0lQ9cXELaJh4NEuvhAdo0BsFtbGfkKK5nbpC3AUigWS3JOpFZVymKU4qjyNLmYO63GZx4oZicSDXcFqi3WakSw4bB6rioAqPJhrM878z7AB4=',Hatte heute einen veganen Caesar Salad und swi das war das ekligste das ich seit langem gegessen habe https://t.co/8zyutdkmNK,hatte heute einen veganen caesar salad und swi das war das ekligste das ich seit langem gegessen habe,had a vegan caesar salad today and swi that was the grossest I've eaten for a long time
b'gAAAAABkk1Q0SndT4jHPNhtqz1RRQBYaf2GlN72BGzhR5vtZPoxNoahLz-B9pvTZhHJEWGPfkpMIz1mL5qQeKY2LgZqF8fqiVJfV7JA4X9cbCMfL9DwWpFk=',"@hagebuttenwolf @genietervan Hier nur ein Bananenbrot, natürlich auch vegan, aber vielleicht nicht ganz so lecker?",hier nur ein bananenbrot natürlich auch vegan aber vielleicht nicht ganz so lecker,here only a banana bread of course also vegan but maybe not quite as tasty
b'gAAAAABkk1Q0n6YKfaJw2JwYcLpZR574HtZcFam5tmSySi1GG8CJoxFXOjk-7PFwXCNIit9wwTbYk_6ZPEkpFzy9VB6Aim_I003t8WaJr4CbkPpwjZ7ti4k=',@roggi_ultra_no1 Aber die vegane Weißwurst ist mehrwertsteuerfrei. Söder jagt die AKWs eigenhändig in die Luft aus Protest dagegen,aber die vegane weißwurst ist mehrwertsteuerfrei söder jagt die akws eigenhändig in die luft aus protest dagegen,but the vegan whitwurst is VAT-free söder chases the akws in the air from protest against it
b'gAAAAABkk1Q01eN2vuOAcu3sEvgiP9hscwO_QPEFP4z-5XrQ3kXu-5EjEQ-GZ6CDIX10_ZP9qi37mPp5RHzwbDPyNPhxEfFTXWjfjTpapZALCwJB1Dv3U7w=',"Ich sitz bei Ben und Jerry's in Clearwater, Florida und esse genüsslich ein veganes Eis, während im Radio Linkin Park läuft.\nDen Moment bitte einmal in ein Einmachglas zum mitnehmen 🥰\n\n#MaianaHoliday",ich sitz bei ben und jerrys in clearwater florida und esse genüsslich ein veganes eis während im radio linkin park läuftden moment bitte einmal in ein einmachglas zum mitnehmen maianaholiday,I sit at ben and jerrys in clearwater florida and enjoy a vegan ice cream while in the radio linkin park running moment please take one in a mason jar to maianaholiday
b'gAAAAABkk1Q0Z2GQwJB9ucoXmC6Az4rg4LBSDms_uolCp5kjoUN9dPTAzNrFgFpELDOR3qcTXmDaZCX_oNLblki6fjYqxkpjuXb_2W0hGIXCvzdWfPLAHB8=',@justthore Nix für Veganer,nix für veganer,nothing for vegan
b'gAAAAABkk1Q03g1toD7HPHZt6iLQDex0AdqUSpBiFuK1uKml_jGBdF2Hs9UEYpDVqP5F0URqYtTK3D1655AlgHolSQfqL2sANJkm9wU4uE8krQWPbCN17Y0=',"Ist man Hetero, ist es falsch\nIst man ein Teil der LGBTQ+, ist es flasch\n\nIsst man Fleisch, ist es falsch \nIst man vegan, ist es falsch\n\nFazit für mich:\nIch bin falsch, so wie ich bin\n\nSee ya",ist man hetero ist es falschist man ein teil der lgbtq ist es flaschisst man fleisch ist es falsch ist man vegan ist es falschfazit für michich bin falsch so wie ich binsee ya,is one hetero is it wrong is one part of the lgbtq is it flassiest man meat is it wrong is one vegan is it wrong for meI'm wrong as I am lake ya
b'gAAAAABkk1Q0V-6n9Mf00IyAJ2UZ2QzHMkYozaAPjppdGYhf6PV6ztiW34DeLX6DjKIF-nbp7PEsWQ0hxHFiNeFqHQnnBHbcG3Bx8M9ROo77YMnSlpC-rQA=',"@rbbabendschau @TUBerlin Mit Verlaub, habt ihr den arsch offen? Nicht weil der Döner wahlweise vegan ist sondern vom Preis her. Es muss umgehend eine Dönerpreis Bremse her!",mit verlaub habt ihr den arsch offen nicht weil der döner wahlweise vegan ist sondern vom preis her es muss umgehend eine dönerpreis bremse her,with permission you have the ass open not because the doner is optionally vegan but from the price it must immediately a dönerpreis brake here
b'gAAAAABkk1Q0U2WoFw1TYdwLKRU9BjtfhCbc0sbNpMcUaAl_h899TuIpc39n-UWbzQLWn5Jx7oUiZtqZncISqSY_d3DkxQYSu1aGFK_NPXHkmPRZP_O5lIE=',"Im Ostergeschäft nun sind auch Hühnereier nicht nur teuer, sondern auch noch knapp. Ein Berliner Startup will das vegane Ei als Alternative etablieren.\n\nhttps://t.co/4ZPVgkiRJ6",im ostergeschäft nun sind auch hühnereier nicht nur teuer sondern auch noch knapp ein berliner startup will das vegane ei als alternative etablieren,in the east business now also chickens are not only expensive but also just a berlin startup wants to establish vegan egg as an alternative
b'gAAAAABkk1Q0JaJB6vpmIcU9mb-UFybb6RMwvMNpFQy4fsZcNT8Zj936mMUMUAXt-uZvKtm_Y7yOSNALu-LCb5xZ0fM0GRjWjgYuQdLWqN-NTLemieV6qEQ=',@MullerBoje Nix...habe kein Vermögen immer Klimagerecht gelebt.Halte Demokratie für  das Beste was wir haben.Und fabrizieren weder viel Müll u lebe Vegan ...Also Alles im grünen Bereich 👍,nixhabe kein vermögen immer klimagerecht gelebthalte demokratie für das beste was wir habenund fabrizieren weder viel müll u lebe vegan also alles im grünen bereich,nixhabe no capacity always climate-friendly living democracy for the best we have and fabricate neither much waste u live vegan so everything in the green area
b'gAAAAABkk1Q08UvOtmCnh3LctG14UPpoB3XOc6Ldo4sh1Ev_pJ7butr1vJhiW2MfzIAHFrex3tNjRoIMh6RFx6Tv1H_lOY33AxNSTfMkOspUiEDGifJl_V0=',"@Dorimukyatcha Das Alex am Alex hat ein Buffet, aber ehrlich ich würde einfach gucken was am Boxhagener Platz ist, da gibt es einfach alles, ob vegan, ob Café nur mit 20 verschiedenen Käsekuchen Sorten oder herzhafter Brunch. Samariter Straße / Boxi is best ☺️👌",das alex am alex hat ein buffet aber ehrlich ich würde einfach gucken was am boxhagener platz ist da gibt es einfach alles ob vegan ob café nur mit verschiedenen käsekuchen sorten oder herzhafter brunch samariter straße boxi is best,the alex at the alex has a buffet but honestly I would just look what is at the boxhagener square there is just everything if vegan whether café only with different cheesecake varieties or hearty brunch samariter street boxi is best
b'gAAAAABkk1Q0FVSArgcVigjktZS1CsqgRgpF5zmMGLKW0jEwUovQ1FgdusdGM6Abo6fjUeu3MQL0pk1c4gLF_grYWeegVKBFXRnz_M5MnAFYOzBaK2PGVzs=',"@goran_jovanic @alf_frommer Zur Präzisierung: Mit Sandkastenlinken meine ich solche, die statt Linke, SPD oder Grüne (ja, man kann Linksheit diskutieren) irgendwelche Splitterparteien zu Partikularthemen (Klima, vegan, Tierschutz, Rechtsökologen etc)  wählen, die nur die Menge der linken Stimmen schrumpfen.",zur präzisierung mit sandkastenlinken meine ich solche die statt linke spd oder grüne ja man kann linksheit diskutieren irgendwelche splitterparteien zu partikularthemen klima vegan tierschutz rechtsökologen etc wählen die nur die menge der linken stimmen schrumpfen,for clarification with sandbox links I mean such the instead left spd or green yes you can discuss left any splinter parties to particular topics climate vegan animal protection right ecologists etc choose the only amount of left vote shrink
b'gAAAAABkk1Q0XPGVoythAwIrxbBoDLGbuaoJSq6NjK7FLI8syUuF95jORDxgJO0GCD1nQude_7s3DpKNKnsc98ZaYFqZdfImd8zx68gRYPdhVFLks9kUD7A=',"Ich werde sicherlich kein Veganer mehr, aber wir testen immer wieder Produkte. Die Majo, es gibt keine bessere für mich. Die Vurst, völlig okay. Die vegane Butter geht auf dem Brot, nicht zum Braten. Der „Käse“ ist mild und okay fürs Sandwich, Gouda ist als Vorbild aber zu groß. https://t.co/UHACnLJ1Qe",ich werde sicherlich kein veganer mehr aber wir testen immer wieder produkte die majo es gibt keine bessere für mich die vurst völlig okay die vegane butter geht auf dem brot nicht zum braten der „käse“ ist mild und okay fürs sandwich gouda ist als vorbild aber zu groß,"I certainly won't be vegan anymore but we keep testing products that mayo there is no better for me the vurst completely okay the vegan butter goes on the bread not to fry the ""cheese"" is mild and okay for the sandwich gouda is as an example but too big"
b'gAAAAABkk1Q0k_TL8DU64FRIvfT0ezwbJu9luxd4w0yH5s7hlI-DE-AXdt7uZl7qUwDfRfY1PYRHwCpEGP1TEL8ySPhupaheNq1u21ernJYGI72zIUYVoo0=',"@harryfiat @breitenbach Aus hygienischen Gründen erscheint mir anderes wichtiger. Vegetarisch und Vegan können auch durch schlechte Hygiene verunreinigt sein und wenn es dann nicht richtig gekühlt ist, krank machen",aus hygienischen gründen erscheint mir anderes wichtiger vegetarisch und vegan können auch durch schlechte hygiene verunreinigt sein und wenn es dann nicht richtig gekühlt ist krank machen,other important vegetarian and vegan can also be contaminated by poor hygiene and if it is not properly cooled then make sick
b'gAAAAABkk1Q0G9aawLVGtdGNGLQgcdiM8OXunh8v9PytizMELMctp0MIR0aS2PsX_8HAbGMradaijxj89-0_9m99zNXjp53j_acWSGpolGq61rOPt1DtZVU=',@Bicolinchen @OomenBerlin Vegan verträgt halt leider nicht jeder.🤷‍♀️,vegan verträgt halt leider nicht jeder,vegan unfortunately does not tolerate everyone
b'gAAAAABkk1Q0sCUMkOvG-uNlnoai1Fz1xvApwzxkqfRNikIpEVPA53reI5MDSeXH8nNXhbdSzQRgkzPdEJfM2Xq9coGH2fKmpdmcBj-LRhcUFnsmrJDUlKc=',@mxlte1 @Kirtscho Manche Menschen werden unter anderem deswegen vegan weil sie das schreckliche Leid der Tiere einfach nicht mehr ertragen können und eben schon garnicht selbst daran auch noch beteiligt zu sein.,manche menschen werden unter anderem deswegen vegan weil sie das schreckliche leid der tiere einfach nicht mehr ertragen können und eben schon garnicht selbst daran auch noch beteiligt zu sein,"some people become vegan, among other things, because they just can't bear the terrible suffering of the animals anymore and certainly can't even be involved in it."
b'gAAAAABkk1Q06QbXtahMn6moh6H2y48usjYB6UuHZG2ZZoBAqkJOYa3UKRR5UxmVH5iWURe0tZZ2yu-V9thpsrJpO311C__5SSuYTY2CTzIaGB0bY2VYuuc=',@lanimaly5 @herrkrise @JordiBogenstein Auch etwas das vegane Ernährung sehr erschwert aber nicht unmöglich macht.,auch etwas das vegane ernährung sehr erschwert aber nicht unmöglich macht,also something that makes vegan nutrition very difficult but not impossible
b'gAAAAABkk1Q0FXORVnSq5QJIURM4WLDY_wzrFjneu6j0DTI8GQjNYWDvHzX8rFdRsmk6C-_9D21WFJCfmv4_OquvTVxrAjYtg10Ouaj_iTtcf_Gp3bkWdYQ=',Hier haben wir 2 Hasen und beide haben Recht.\nWähle einfach einen davon der am Besten bei dir wirkt ✨:\n\n{\__/}\n( • . •)\n/ &gt; 💚  heyyy könntest du vll bitte vegan werden?\n\n{\__/}\n(ò . ó)\n/ &gt; ❤️‍🔥  DU SOLLST KEINE TIER MEHR FRESSEN DU\n              PIMMELFRATZE!!!,hier haben wir hasen und beide haben rechtwähle einfach einen davon der am besten bei dir wirkt • • gt heyyy könntest du vll bitte vegan werdenò ó gt du sollst keine tier mehr fressen du pimmelfratze,here we have hasen and both have rightchoice just one of them that works best with you • • gt heyyy could you vll please get vegan ò gt you're not supposed to eat any more animal you fuck
b'gAAAAABkk1Q0YwLHHesNqjsc_O19bpVzMoEFF5leCZCenANc3vw92Gihei122rVrh4yvmE2a_mPgbFSIHzsXZghTDk2GW_fhJh-PChlWse8qu9ve_u8gGfg=',"@novred @RaphaelThelen Und was isst ""deine Generation"" so? Du lebst hoffentlich über 20 Jahre schon vegan.",und was isst deine generation so du lebst hoffentlich über jahre schon vegan,and what does your generation eat so you hopefully live for years already vegan
b'gAAAAABkk1Q0CJ-IOjXq8QEpw00RAP2pJgPc71QycdcsBeLQ-vNWDNryAHUpVRYnDtvWzyw-596-LllHCiHl8Ag3Idmvd5YmO8u1WaKmTXTCMW9c0ft6sHk=',"@Birkenrinde11 Diese veganen Entendinger sind verdammt geil. Find sie sogar besser als Ente aus Tieren, weil die nicht so viel Fett und gezatter dran haben. Bin großer Fan 👍",diese veganen entendinger sind verdammt geil find sie sogar besser als ente aus tieren weil die nicht so viel fett und gezatter dran haben bin großer fan,these vegan entendingers are damn horny find them even better than duck from animals because they don't have so much fat and zatter on them am big fan
b'gAAAAABkk1Q0RUbXq9oVeO0ZPB2ax4E1JTqT90bibOCRsgreDfaf5BYveJGpgVy6NiC2N-bXoXkZFxdRy-9on1mSephj5Fi11imD4IMdAt8nUfadUKEcliU=',"Es ist unglaublich, wie sehr mir kochen und backen wieder Spaß macht seit ich mich (weitgehend, ja sorry, ich arbeite dran) vegan ernähre. Heute Abend gab es selbstgemachtes Bärlauch-Focaccia, dass einfach so unglaublich lecker aber auch easy zu machen war - ein Gedicht 🤤 https://t.co/kblVAwYYi1",es ist unglaublich wie sehr mir kochen und backen wieder spaß macht seit ich mich weitgehend ja sorry ich arbeite dran vegan ernähre heute abend gab es selbstgemachtes bärlauchfocaccia dass einfach so unglaublich lecker aber auch easy zu machen war ein gedicht,it's incredible how much I cook and bake again fun since I mostly yes sorry I work on it vegan nourishing tonight there was homemade bear garlic focaccia that was just so incredibly tasty but also easy to make was a poem
b'gAAAAABkk1Q0263nLWdpxXBIPwi6QyyHbE4TbrD87IDhvSkmcUoGNbBGAJSdwfIWuTioBUoVlbRR2qi5Rspt07BIDjTVn4-yA1HSVFvCPljfGtEwvwq1feA=',@ulschka Guten Morgen Ulschka ☕️☀️,guten morgen ulschka,Good morning ulshka
b'gAAAAABkk1Q06AeqkvNGJ1WBEe8mWsVNP9ZD56j5JMglvc41vQgtfuAjSFG1_VUfBqGGET7xR-ieQfjVx9iApAE6Ba9jN4ONnyYepIIILp9Ndh78XCawgAc=',@bigm1lk @patricklnz echt Mal,echt mal,Real time
b'gAAAAABkk1Q0BZfb3ZFKjFBYT84rUps5UuuYgB_-RYLhesMdCRf3rlq29N9rPPDVFjv_UrJl_IXdaUF9PkzZoiYllMIg4Z1ojeRxaau1TkXPnwii2_b9HXo=',"es ist wirklich hart als veganer schokolade zu kaufen für jemanden, der vermutlich alles isst, denn es ist einerseits alles uninteressant und andererseits gab es eben nicht die gewünschte große packung",es ist wirklich hart als veganer schokolade zu kaufen für jemanden der vermutlich alles isst denn es ist einerseits alles uninteressant und andererseits gab es eben nicht die gewünschte große packung,it's really hard to buy as vegan chocolate for someone who probably eats everything because on the one hand it's all uninteresting and on the other hand there wasn't the desired big pack
b'gAAAAABkk1Q0daUJ6fI_f7rBi6Ztfh8_xjX7W50ECeJ2gQsypN8K7LSYZx735gG25NF5gzBvm1y-hmNXFPlHxV3rXdn_b5uqHu41USxCnhxydE0wRzszLyI=',@KathaSchulze Steck dir deine hässlichen Windräder sonst wo hin.\nBayern ist kein Land für Windenergie.,steck dir deine hässlichen windräder sonst wo hinbayern ist kein land für windenergie,stick your ugly windwheels anywhere else bayern is no land for wind energy
b'gAAAAABkk1Q0naTo7-O771Qfi75risV3xHoFMuqam4zkRfPJtDaYOoFgGrK74sv-KiTTVscwlxqAcPrXtH8dyjZoiqhio6ski50OvoH-nfEkAtxCAblXsSc=',Mehr als 1300 Tote gezählt: Entdecker von Wagner-Friedhof flüchtet aus Russland https://t.co/oPD8yfEwk9 https://t.co/Mu6nKnpXZb,mehr als tote gezählt entdecker von wagnerfriedhof flüchtet aus russland,more than dead counted discoverer of wagnerfriedhof flees Russia
b'gAAAAABkk1Q0PSsci1pUQSVg7foBdEXbnB7UGoW_EhyHfqcThepkYFEH1esd0DEzKDrOZJpdp73NUIfkfZLiSY5-vmuYMwjm9LSTLorq1TyQTh9PC9Tk6EI=',"@sportstudio @FCBayern @ManCity @Skulle59 Im Fußball und generell im Sport kann es eben immer auch nur einen Sieger geben. Im Fall von Bayern wird sich der Erfolg wieder einstellen, da bin ich mir sicher. Und wenn Sané, Gnabry, Mané, Musiala und Co. auch mal wieder treffen und sich den Frust von der Seele schießen, dann",im fußball und generell im sport kann es eben immer auch nur einen sieger geben im fall von bayern wird sich der erfolg wieder einstellen da bin ich mir sicher und wenn sané gnabry mané musiala und co auch mal wieder treffen und sich den frust von der seele schießen dann,in football and in general in sport there can always be only one winner in the case of bayern the success will set itself up again because I am sure and when sané gnabry mané musicala and co also meet again and shoot the frustration of the soul then
b'gAAAAABkk1Q0py_MY-iKcTCiV6RcKfNsgIX7WTkx4Pdo2-e1hVA18Dw1UruQXg-4lgO1i4iMH313J2mmC9rnkJPDYHIh-88XzoRsl6bMhoXBqQhnlG9lkpo=',"@martyna_lin Nicht ganz, aber mal aus der SPD ein Schritt in die richtige Richtung: https://t.co/WlWzl9MV88",nicht ganz aber mal aus der spd ein schritt in die richtige richtung,not quite but sometimes from the spd one step in the right direction
b'gAAAAABkk1Q0EaaHIsp-VrR1ZIeEHT8SI-2bAkoCA4D2Wccr6mJ2BI_6FKSKLFi6dgZM0mlG5YjLcjZKCX_0e5RQK9kFZUZNw03HgGM3laJOIiLPGyUaSc4=',"@jagodamarinic Meine Antwort wäre wahrscheinlich beleidigend, also...",meine antwort wäre wahrscheinlich beleidigend also,my answer would probably be insulting so
b'gAAAAABkk1Q0BdSFlVK-YFwfk2GZQhOLPhMLgeHsYFUj7CcmM1CfhjuUm5COhSvjUDCOWWAJvL_d-gQeFfUPqb0jUW09P4en6PdjwWX4tGlH4amHrwkEtGE=',Verkäufer/in - Berliner Warenhaus - Festanstellung\nhttps://t.co/YMGCdfzVZ9\n#jobBerlin #hrjob #hiring #Verkauf #Textil #Damen-jungeMode,verkäuferin berliner warenhaus festanstellung hrjob hiring verkauf textil damenjungemode,saleswoman berliner Warenhaus permanent hrjob hiring sale textile ladyboymode
b'gAAAAABkk1Q0EB-3fuWmLaQDtZcGbicOmtPyA1UrR13uF2MX1im6NgESaG2wEAQeTV5qwDtD-94acvy2ak1E7c4bbTskVOfREUHmfEGocxr9CMpWfsXO-ZA=',6.Trump ein Jammerlappen\nDoch die Anschuldigungen und Ermittlungen könnten am Ende den gegenteiligen Effekt haben - Trump mittel- bis langfristig schwächen und seine Gegner stärken. Trumps Endspiel besteht aus grundlosem Gejammer! https://t.co/Xfuh88Qfqy,trump ein jammerlappendoch die anschuldigungen und ermittlungen könnten am ende den gegenteiligen effekt haben trump mittel bis langfristig schwächen und seine gegner stärken trumps endspiel besteht aus grundlosem gejammer,trump a whining however the accusations and investigations could at the end have the opposite effect to weaken trump medium to long term and its opponents strengthen trumps endgame consists of groundless whining
b'gAAAAABkk1Q0WshLSixmC6KYerUOE2ZGbuCwWKGAUIb2cERipT3ukow0IcmIlTzGOqtGfwjCH9i4O-MselYkFoyMUt53qUnV14X-4-IPfZqktiSXMBtZ2_g=',@Tim27081 Absolut.\nDas müsste viel öfter passieren.,absolutdas müsste viel öfter passieren,absolutely that would have to happen much more often
b'gAAAAABkk1Q0EQN4IdRKx7tVj4dt_8zH7u0CCcukxTpaf5bksBCZwBvKEVXiIEzHYvLenFPhkIXXOajAQjYf8HutHn8LEEc7tLeGty2dQ_YQ5WyX1ZrwQi0=',@tosid @pghirmai Und welche Chefetage verdient sich denn eine goldene Nase? Der Vorstand?,und welche chefetage verdient sich denn eine goldene nase der vorstand,and which chief days deserves to be a golden nose of the head
b'gAAAAABkk1Q0hA-EnwKv1iVxBhIU6Z2GL-8WY27f_DPopNV40PAf_o7qbBcLgNNFM5ODJAXhWbLB-yo9KG31KE3nL2xBo9DBir4G6uevLWLg2NgjZJjKkQU=',"@ackermann_roy Danke, hoffe ich kann morgen zum Fußball. Zum FC Winterthur auf die Schützenwiese. Scheinen ähnlich Gaga wie wir Unioner zu sein. https://t.co/Rb20X6qTaf",danke hoffe ich kann morgen zum fußball zum fc winterthur auf die schützenwiese scheinen ähnlich gaga wie wir unioner zu sein,thank you hope I can tomorrow to football to fc winterthur on the protective meadow seem to be similar gaga as we unioner
b'gAAAAABkk1Q0-qdCAb3HazSuPhHaiYwq6WLQmQ4c0Uvzb3zMGqpJuGE1F6rIa6B-6ceyje_U19ZbTyarAhugWUp7y9hvUFMf36GZ4V1NSYCFMilb-TxUcv0=',@back_andy_09 Dankeschön https://t.co/HfIkCIWSDS,dankeschön,Thank you.
b'gAAAAABkk1Q0LO-Ahl0e5LwwN9rpqHY-ozmXRN0z1fGjcT-R2rhHn14W6sNbj4dE9E9iwoXo2JiRmJ7BLHNeBpz5xxux-vK-G6TvOWVZjTBuCcVAVKqWgRc=',@narrhallamarsch Aber könnten wir noch mal über Sachsen reden?,aber könnten wir noch mal über sachsen reden,but we could talk about Saxony again
b'gAAAAABkk1Q0-OSEUDnWbYOZtu3bnw7HGpJfvutdFLwIHIGk9tU0MnfPc9_Rcze6JhtQXjwO4FIfE-nN8QknJv-OFBtZWALTwaBH4WLtvEYprtd7yLK3HRk=',@JeanVanRijn Ich höre es…. 😅,ich höre es…,I hear it...
b'gAAAAABkk1Q0I04aRYiV4WGnybUYocyYvasBaGMjy8ngB9_w9O4PpdRU-XtV_MzWHR15QdwW9MSEnIh4T4CaKjr8aupF4ldxrLKd25-mskPO6RzKuKfB-tc=',"""Und jetzt?""\n\n""Jetzt brauchen wir neue Indexnummern""\n\n""Weil die ja auf Bäumen wachsen.""",und jetztjetzt brauchen wir neue indexnummernweil die ja auf bäumen wachsen,and now we need new index numbers because the yes grow on trees
